2021-11-12 05:22:33,237 | root | INFO | <built-in function id>  Delete book Successfully
2021-11-12 05:22:42,677 | root | INFO | None  Jump to the add bok page
2021-11-12 05:22:51,354 | root | INFO | Nikhil  Telang  Add boot Successfully
2021-11-12 05:23:00,883 | root | INFO | None  Jump to the home page
2021-11-12 05:40:18,809 | root | INFO | None  Jump to the Update Book Page
2021-11-12 05:41:34,494 | root | INFO | None  Jump to the home page
2021-11-12 05:41:39,429 | root | INFO | None  Logout Successfully
2021-11-12 05:41:39,443 | root | INFO | None  Jump to the home page
2021-11-12 05:41:51,154 | root | INFO | None  jump to the Sign in Page
2021-11-12 05:41:53,568 | root | INFO | harshaltelang34@gmail.com  Login Sucessfully
2021-11-12 05:43:19,748 | root | INFO | None  Jump to the add bok page
2021-11-12 05:43:25,350 | root | INFO | None  Jump to the home page
2021-11-12 05:45:13,469 | root | INFO | None  Jump to the add bok page
2021-11-12 05:46:11,096 | root | INFO | None  Jump to the add bok page
2021-11-12 05:46:15,967 | root | INFO | None  Jump to the home page
2021-11-12 05:46:18,583 | root | INFO | None  Jump to the Update Book Page
